Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
58.24137087556998,6,31,3926.99686623445,0,1,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,5341.9955125177985,54.71939978137047,73.39460802880441,56.162729151782884,2.4631822461460033,62.136034672816756,0.00029897792821376146,141,11.996766153370595
45.53885352418774,6,60,26658.980036970956,0,1,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,5742.846740628904,50.04134584490072,78.02415594993894,67.4206593673594,1.5196562686047406,68.63693107939737,0.00045572005288606256,276,10.755578765025305
41.03011076584113,6,63,6202.065540531799,0,1,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2095.4323165631286,46.5028585752232,62.733947859729334,60.20447691674402,3.9948659159509528,63.4895939469174,0.0001072848784751093,288,9.662739096348854
49.37606767575911,6,51,22428.312392736727,0,1,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,3447.5455278449226,57.17933639316274,68.9153792204238,69.09866239935221,1.659467627771858,64.77180443129043,0.00033435726951487913,187,6.1351601012772
56.99328288378281,6,60,15157.89344188123,0,1,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,4646.742400015918,49.09377573426077,78.06353307679477,57.015496129945674,2.930952297071283,61.15165706333115,0.00023914453561285217,397,3.050826626396625
32.98668975075592,6,38,24732.448667738012,0,1,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,3072.5500515992653,58.22755671736094,66.19126249898922,69.14723423112316,2.8542026448336584,60.084976339666355,0.000268518922951305,393,7.581794479946525
36.266821119738914,6,41,14456.02104116327,0,1,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,5736.617436535114,52.465301734517446,61.507507381480906,66.40799989424033,2.931202221161463,68.15307241902642,0.0001118733119859764,441,1.7208046181181609
42.976598338159896,6,31,8737.142906934458,0,1,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,4729.910668000315,58.31681923661619,75.08739568626325,52.72999791114673,1.1367806908104172,66.49495023645147,0.000472918861677343,90,5.363552956481504
48.67844395619901,6,30,3005.104915070965,0,1,0,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2687.5239685029296,53.45530882827084,61.65806354809151,69.09124330691495,0.19884438782491404,64.58847014883608,3.014953746711232e-05,190,1.9695520427344388
57.4386117330546,6,39,15361.922385727083,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,3542.2635254102424,40.86321991594998,79.80003092405602,53.02840217513103,0.24144907754931463,56.88402011073589,0.00031531495199593165,440,9.098301599180857
31.441065471534063,6,59,2316.487727107247,0,1,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,4206.013314901886,52.10311855971018,60.91544924706521,55.27884360487195,1.6672305417324491,62.431902543506794,9.365866830150901e-05,175,1.5747169822419256
47.49581823238907,6,34,2141.401371861094,0,1,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,4073.144423513284,55.62119251384624,69.73843462985795,56.55921625253997,3.5103287528675167,56.821020731195276,0.00014568195082930778,274,8.013118220175667
